in s,C1 in V,C3 in V
-2.8380E-06,-5.70445E-02,-2.47570E+00
-2.8376E-06,-5.86070E-02,-2.53430E+00
-2.8372E-06,-5.86070E-02,-2.41711E+00
-2.8368E-06,-5.93883E-02,-2.45617E+00
-2.8364E-06,-6.05602E-02,-2.35852E+00
-2.8360E-06,-5.99742E-02,-2.45617E+00
-2.8356E-06,-6.05602E-02,-2.51477E+00
-2.8352E-06,-6.07555E-02,-2.49523E+00
-2.8348E-06,-6.09508E-02,-2.45617E+00
-2.8344E-06,-6.05602E-02,-2.43664E+00
-2.8340E-06,-6.03648E-02,-2.51477E+00
-2.8336E-06,-5.97789E-02,-2.49523E+00
-2.8332E-06,-5.89977E-02,-2.53430E+00
-2.8328E-06,-5.78258E-02,-2.51477E+00
-2.8324E-06,-5.70445E-02,-2.57336E+00
-2.8320E-06,-5.54820E-02,-2.49523E+00
-2.8316E-06,-5.41148E-02,-2.39758E+00
-2.8312E-06,-5.23570E-02,-2.53430E+00
-2.8308E-06,-5.05992E-02,-2.49523E+00
-2.8304E-06,-4.92320E-02,-2.45617E+00
-2.8300E-06,-4.84508E-02,-2.45617E+00
-2.8296E-06,-4.66930E-02,-2.47570E+00
-2.8292E-06,-4.49352E-02,-2.47570E+00
-2.8288E-06,-4.27867E-02,-2.51477E+00
-2.8284E-06,-4.16148E-02,-2.51477E+00
-2.8280E-06,-3.96617E-02,-2.41711E+00
-2.8276E-06,-3.79039E-02,-2.45617E+00
-2.8272E-06,-3.71227E-02,-2.45617E+00
-2.8268E-06,-3.43883E-02,-2.45617E+00
-2.8264E-06,-3.32164E-02,-2.51477E+00
-2.8260E-06,-3.24352E-02,-2.45617E+00
-2.8256E-06,-3.06773E-02,-2.39758E+00
-2.8252E-06,-3.04820E-02,-2.45617E+00
-2.8248E-06,-2.97008E-02,-2.43664E+00
-2.8244E-06,-2.87242E-02,-2.41711E+00
-2.8240E-06,-2.81383E-02,-2.41711E+00
-2.8236E-06,-2.79430E-02,-2.43664E+00
-2.8232E-06,-2.81383E-02,-2.39758E+00
-2.8228E-06,-2.98961E-02,-2.47570E+00
-2.8224E-06,-3.18492E-02,-2.43664E+00
-2.8220E-06,-3.51695E-02,-2.47570E+00
-2.8216E-06,-3.96617E-02,-2.45617E+00
-2.8212E-06,-4.43492E-02,-2.49523E+00
-2.8208E-06,-5.05992E-02,-2.49523E+00
-2.8204E-06,-5.58727E-02,-2.47570E+00
-2.8200E-06,-6.17320E-02,-2.49523E+00
-2.8196E-06,-6.68102E-02,-2.49523E+00
-2.8192E-06,-7.16930E-02,-2.41711E+00
-2.8188E-06,-7.59898E-02,-2.49523E+00
-2.8184E-06,-7.91148E-02,-2.49523E+00
-2.8180E-06,-8.18492E-02,-2.53430E+00
-2.8176E-06,-8.41930E-02,-2.53430E+00
-2.8172E-06,-8.73180E-02,-2.51477E+00
-2.8168E-06,-8.88805E-02,-2.53430E+00
-2.8164E-06,-9.08336E-02,-2.47570E+00
-2.8160E-06,-9.29820E-02,-2.41711E+00
-2.8156E-06,-9.55211E-02,-2.49523E+00
-2.8152E-06,-9.64977E-02,-2.45617E+00
-2.8148E-06,-9.78648E-02,-2.55383E+00
-2.8144E-06,-1.00013E-01,-2.47570E+00
-2.8140E-06,-1.00404E-01,-2.49523E+00
-2.8136E-06,-1.01576E-01,-2.47570E+00
-2.8132E-06,-1.02162E-01,-2.47570E+00
-2.8128E-06,-1.01380E-01,-2.43664E+00
-2.8124E-06,-1.00599E-01,-2.47570E+00
-2.8120E-06,-9.86461E-02,-2.47570E+00
-2.8116E-06,-9.78648E-02,-2.45617E+00
-2.8112E-06,-9.68883E-02,-2.43664E+00
-2.8108E-06,-9.59117E-02,-2.53430E+00
-2.8104E-06,-9.45445E-02,-2.47570E+00
-2.8100E-06,-9.33727E-02,-2.47570E+00
-2.8096E-06,-9.14195E-02,-2.41711E+00
-2.8092E-06,-9.00523E-02,-2.47570E+00
-2.8088E-06,-8.75133E-02,-2.51477E+00
