in s,C1 in V
-2.7248E-06,-2.49742E-03
-2.7244E-06,-2.69273E-03
-2.7240E-06,-2.77086E-03
-2.7236E-06,-2.90758E-03
-2.7232E-06,-2.98570E-03
-2.7228E-06,-3.06383E-03
-2.7224E-06,-3.10289E-03
-2.7220E-06,-3.14195E-03
-2.7216E-06,-3.22008E-03
-2.7212E-06,-3.14195E-03
-2.7208E-06,-3.12242E-03
-2.7204E-06,-3.02477E-03
-2.7200E-06,-2.96617E-03
-2.7196E-06,-2.94664E-03
-2.7192E-06,-2.79039E-03
-2.7188E-06,-2.63414E-03
-2.7184E-06,-2.49742E-03
-2.7180E-06,-2.28258E-03
-2.7176E-06,-2.14586E-03
-2.7172E-06,-1.98961E-03
-2.7168E-06,-1.93102E-03
-2.7164E-06,-1.75523E-03
-2.7160E-06,-1.69664E-03
-2.7156E-06,-1.52086E-03
-2.7152E-06,-1.44273E-03
-2.7148E-06,-1.30602E-03
-2.7144E-06,-1.26695E-03
-2.7140E-06,-1.11070E-03
-2.7136E-06,-1.11070E-03
-2.7132E-06,-9.15391E-04
-2.7128E-06,-8.56797E-04
-2.7124E-06,-6.81016E-04
-2.7120E-06,-6.61484E-04
-2.7116E-06,-5.24766E-04
-2.7112E-06,-6.22422E-04
-2.7108E-06,-5.44297E-04
-2.7104E-06,-6.02891E-04
-2.7100E-06,-4.27109E-04
-2.7096E-06,-4.66172E-04
-2.7092E-06,-4.46641E-04
-2.7088E-06,-5.24766E-04
-2.7084E-06,-5.63828E-04
-2.7080E-06,-6.61484E-04
-2.7076E-06,-6.81016E-04
-2.7072E-06,-7.00547E-04
-2.7068E-06,-5.63828E-04
-2.7064E-06,-5.63828E-04
-2.7060E-06,-5.24766E-04
-2.7056E-06,-6.02891E-04
-2.7052E-06,-6.22422E-04
-2.7048E-06,-7.00547E-04
-2.7044E-06,-8.17734E-04
-2.7040E-06,-8.76328E-04
-2.7036E-06,-1.03258E-03
-2.7032E-06,-1.20836E-03
-2.7028E-06,-1.24742E-03
-2.7024E-06,-1.36461E-03
-2.7020E-06,-1.24742E-03
-2.7016E-06,-1.30602E-03
-2.7012E-06,-1.24742E-03
-2.7008E-06,-1.22789E-03
-2.7004E-06,-1.18883E-03
-2.7000E-06,-1.20836E-03
-2.6996E-06,-1.16930E-03
-2.6992E-06,-1.24742E-03
-2.6988E-06,-1.13023E-03
-2.6984E-06,-1.09117E-03
-2.6980E-06,-1.07164E-03
-2.6976E-06,-9.15391E-04
-2.6972E-06,-8.95859E-04
-2.6968E-06,-7.98203E-04
-2.6964E-06,-6.81016E-04
-2.6960E-06,-6.02891E-04
-2.6956E-06,-5.05234E-04
-2.6952E-06,-4.66172E-04
-2.6948E-06,-3.68516E-04
-2.6944E-06,-3.88047E-04
-2.6940E-06,-3.09922E-04
-2.6936E-06,-2.51328E-04
-2.6932E-06,-1.73203E-04
-2.6928E-06,-1.73203E-04
-2.6924E-06,2.57813E-06
-2.6920E-06,8.07031E-05
-2.6916E-06,2.17422E-04
-2.6912E-06,2.17422E-04
-2.6908E-06,2.76016E-04
-2.6904E-06,3.73672E-04
-2.6900E-06,4.32266E-04
-2.6896E-06,3.93203E-04
-2.6892E-06,5.49453E-04
-2.6888E-06,5.29922E-04
-2.6884E-06,6.66641E-04
-2.6880E-06,7.25234E-04
